,Table of all Canon SLR and Rangefinder Lenses ever,,,,,,,,,,,"Find this table in the downloads section at ChristianSchnalzger.de, © 2025",,,,
,EF and EF-S Lenses,,1987-2o18,,,"Scroll down for FD, FL, R and M39/LTM rangefinder series, and links to other manufacturers. This table does not contain evil lenses (EF-M, EOS-R).",,,,,,,,,,
,Pull above 'FX' tab down for long entry; use right scrollbar,Measured,Full Frame Coverage?,L,IS,USM,Specialty Lens,Weight (g),Focus,MF?,Close-up (cm),Filter,Dia x Length (mm),Introduced,MSRP,Notes and Geekery
,Additional information to above columns (numbers: see footnotes at the end of this EF table):,,1),2),└ IS generation; EVs of shutter speed gain promised over 1/shutter rule,,,"└ white: specified weight; grey: measured weight without caps, tripod collar, etc; a (2) indicates two samples measured with identical result",,3),,,,,"└ original recommended retail price in USD or Yen (note that Canon has been increasing them massively over the lifetime of many lenses! If possible, this list aims to compile the initial MSRPs)",see footnotes 4-9 for all information pertaining to more than one lens
,click here for patents that Canon has been depriving us of - or see my separate table in the downloads section at ChristianSchnalzger.de,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,EF 8-15 mm f/4 L Fisheye USM,,Y,,,,Fisheye (circular to diagonal zoom),543,USM,Y,16,rear,79 x 83,2010,1249,"First fisheye zoom (the Nikon only came in 2o17), going from circular to diagonal on FF"
,EF-S 1o-22 mm f/3.5-4.5 USM,1o-21,N,,,,,383,USM,Y,,77,84 x 90,2004,799,
,EF-S 1o-18 mm f/4.5-5.6 IS STM,1o-17/4.6-5.7,N,,,,,240,USM,N,,67,75 x 72,2014,299,covers full frame 14-18mm
,EF 11-24 mm f/4 L USM,11-23/4.1 T4.3-4.6,Y,,,,,1166,USM,Y,28,rear,108 x 243,2015,2999,
,EF 14 mm f/2.8 L II USM,T3.3,Y,,,,"Cine version available, see right",643,USM,Y,20,rear,80 x 94,2007,2199,aka CN-E 14 mm T3.1 FP X and L F
,EF 14 mm f/2.8 L USM,,Y,,,,,538,USM,?,25,rear,77 x 89,1991,2199,"same layout as FD version, but optical performance suggests new design: quite a bit less bad, although heavy CA. also, now 6 instead of 5 aperture petals"
,Cine CN-E 14-35mm T1.7 L S / SP,,N,,,,Cine Lens (APS only),3400,manual,Y,60,114,? x 241,2023,21999,
,Cine CN-E 14.5-6o mm T2.6 L S,,N,,,,Cine Lens (APS only),4500,manual,Y,70,,,,42750,
,EF 15 mm f/2.8 Fisheye,15.3/2.8,Y,,,,Fisheye (diagonal),319,AF,Y,20,rear,73 x 62,1987,699,equisolid ● not the same as the FD: EF is a simpler 8/7 design with 5 petals; FD was 1o/9 with 6 petals and inbuilt filters
,Cine Servo 15-12o mm T2.95-3.95,,(Y),,,,Cine Lens,3400,manual,Y,85,114,295 x 167,2022,31000,inbuilt 1.5x extender for up to 18o mm; FF coverage if and only if extender is engaged ● T2.95 only at 15-9o mm
